PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2002;01;01;00025;V;00028;V;00025;V;00026;V;00032;V;00025;V;00019;V;00018;V;00017;V;00018;V;00018;V;00019;V;00022;V;00022;V;00022;V;00021;V;00020;V;00020;V;00019;V;00019;V;00018;V;00014;V;00014;V;00013;V
28;079;4;1;28079004_1_38;2002;01;02;00011;V;00009;V;00008;V;00007;V;00007;V;00006;V;00007;V;00009;V;00011;V;00014;V;00016;V;00021;V;00021;V;00021;V;00020;V;00018;V;00016;V;00016;V;00016;V;00015;V;00014;V;00014;V;00016;V;00015;V
28;079;4;1;28079004_1_38;2002;01;03;00012;V;00010;V;00009;V;00008;V;00008;V;00008;V;00008;V;00010;V;00010;V;00011;V;00013;V;00013;V;00011;V;00013;V;00016;V;00016;V;00013;V;00012;V;00013;V;00011;V;00014;V;00019;V;00018;N;00018;V
28;079;4;1;28079004_1_38;2002;01;04;00016;V;00017;V;00012;V;00012;V;00011;V;00010;V;00011;V;00016;V;00020;V;00021;V;00029;V;00037;V;00034;V;00030;V;00029;V;00026;V;00025;V;00031;V;00032;V;00030;V;00033;V;00033;V;00026;V;00020;V
28;079;4;1;28079004_1_38;2002;01;05;00018;V;00017;V;00016;V;00015;V;00012;V;00011;V;00011;V;00012;V;00016;V;00019;V;00025;V;00028;V;00024;V;00020;V;00018;V;00018;V;00017;V;00016;V;00018;V;00017;V;00017;V;00016;V;00016;V;00014;V
28;079;4;1;28079004_1_38;2002;01;06;00010;V;00010;V;00009;V;00008;V;00007;V;00006;V;00006;V;00006;V;00007;V;00009;V;00011;V;00012;V;00013;V;00013;V;00012;V;00012;V;00012;V;00012;V;00017;V;00017;V;00017;V;00019;V;00017;V;00012;V
28;079;4;1;28079004_1_38;2002;01;07;00013;V;00015;V;00011;V;00012;V;00009;V;00009;V;00010;V;00009;V;00011;V;00011;V;00023;V;00020;V;00014;V;00012;V;00012;V;00014;V;00014;V;00013;V;00015;V;00017;V;00027;V;00018;V;00016;V;00010;V
28;079;4;1;28079004_1_38;2002;01;08;00007;V;00007;V;00007;V;00006;V;00008;V;00009;V;00009;V;00014;V;00024;V;00033;V;00034;V;00038;V;00038;V;00028;V;00036;V;00028;V;00035;V;00028;V;00027;V;00032;V;00028;V;00022;V;00021;V;00017;V
28;079;4;1;28079004_1_38;2002;01;09;00015;V;00013;V;00011;V;00010;V;00009;V;00009;V;00009;V;00014;V;00022;V;00029;V;00032;V;00030;V;00023;V;00020;V;00018;V;00018;V;00020;V;00024;V;00034;V;00043;V;00037;V;00035;V;00022;V;00025;V
28;079;4;1;28079004_1_38;2002;01;10;00017;V;00013;V;00010;V;00010;V;00010;V;00009;V;00010;V;00012;V;00018;V;00014;V;00015;V;00015;V;00015;V;00020;V;00021;V;00018;V;00019;V;00018;V;00023;V;00035;V;00038;V;00031;V;00021;V;00011;V
28;079;4;1;28079004_1_38;2002;01;11;00014;V;00012;V;00011;V;00008;V;00006;V;00007;V;00010;V;00011;V;00023;V;00026;V;00054;V;00069;V;00046;V;00046;V;00040;V;00027;V;00025;V;00027;V;00033;V;00035;V;00044;V;00037;V;00025;V;00021;V
28;079;4;1;28079004_1_38;2002;01;12;00018;V;00013;V;00012;V;00012;V;00009;V;00010;V;00010;V;00012;V;00012;V;00017;V;00029;V;00080;V;00078;V;00053;V;00030;V;00026;V;00025;V;00022;V;00026;V;00028;V;00040;V;00041;V;00034;V;00039;V
