PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2022;12;01;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;02;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;3;V;2;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;03;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;1;V;1;V;1;V;2;V;1;V;1;V;2;V;2;V;2;V;1;V;2;V
28;079;4;1;28079004_1_38;2022;12;04;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;05;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;06;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;3;V;3;V
28;079;4;1;28079004_1_38;2022;12;07;3;V;3;V;3;V;2;V;1;V;1;V;1;V;2;V;4;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;3;V;3;V;5;V;5;V;4;V;4;V
28;079;4;1;28079004_1_38;2022;12;08;4;V;3;V;2;V;1;V;1;V;2;V;2;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;09;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;10;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;11;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;12;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;N;195;N;13;N;1;V;1;V;1;V;1;V;1;V;1;V;1;N;1;V
28;079;4;1;28079004_1_38;2022;12;13;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;14;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;15;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;16;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;17;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;18;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;19;2;V;3;V;2;V;2;V;1;V;2;V;1;V;2;V;4;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V
28;079;4;1;28079004_1_38;2022;12;20;1;V;2;V;3;V;3;V;3;V;3;V;3;V;4;V;6;V;6;V;3;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V
28;079;4;1;28079004_1_38;2022;12;21;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;22;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;23;1;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;24;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;25;1;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;26;2;V;1;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;4;V;4;V;3;V
28;079;4;1;28079004_1_38;2022;12;27;2;V;2;V;3;V;2;V;2;V;2;V;3;V;4;V;4;V;5;V;5;V;4;V;3;V;2;V;2;V;2;V;1;V;2;V;4;V;4;V;5;V;5;V;3;V;2;V
28;079;4;1;28079004_1_38;2022;12;28;2;V;3;V;3;V;3;V;2;V;2;V;2;V;4;V;4;V;5;V;5;V;4;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;29;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;217;N;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;30;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;079;4;1;28079004_1_38;2022;12;31;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;1;V;1;V
28;079;4;6;28079004_6_48;2022;12;01;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.3;V;0.2;V;0.2;V
28;079;4;6;28079004_6_48;2022;12;02;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.4;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.6;V;0.5;V;0.4;V;0.4;V;0.3;V
28;079;4;6;28079004_6_48;2022;12;03;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.5;V;0.4;V;0.6;V;0.6;V;0.5;V;0.4;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.5;V;0.6;V;0.5;V;0.5;V;0.6;V
28;079;4;6;28079004_6_48;2022;12;04;0.6;V;0.6;V;0.6;V;0.5;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.6;V;0.5;V;0.5;V;0.5;V
28;079;4;6;28079004_6_48;2022;12;05;0.4;V;0.3;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.5;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.5;V;0.5;V;0.5;V;0.5;V;0.4;V
28;079;4;6;28079004_6_48;2022;12;06;0.4;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.6;V;0.6;V;0.6;V;0.6;V
28;079;4;6;28079004_6_48;2022;12;07;0.6;V;0.7;V;0.5;V;0.4;V;0.3;V;0.4;V;0.4;V;0.4;V;0.6;V;0.5;V;0.5;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.6;V;0.6;V;0.8;V;0.9;V;0.6;V;0.6;V
28;079;4;6;28079004_6_48;2022;12;08;0.5;V;0.5;V;0.4;V;0.4;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V
